Time;Input;Th1;Th2
5.75;-0.304162386;-0.297970016;0.486803235
5.76;-0.263543014;-0.277217746;0.561267262
5.77;-0.217335426;-0.262569085;0.627186236
5.78;-0.166481848;-0.251582589;0.688222324
5.79;-0.112030798;-0.236933928;0.759024186
5.8;-0.055116116;-0.225947433;0.844474708
5.81;0.002299623;-0.225947433;0.890862135
5.82;0.045961981;-0.225947433;0.954339666
5.83;0.088716416;-0.228388876;1.009272145
5.84;0.129640835;-0.225947433;1.067866789
5.85;0.167844677;-0.233271763;1.11059205
5.86;0.202488602;-0.241816815;1.15942092
5.87;0.232803355;-0.254024033;1.18749752
5.88;0.258107392;-0.26623125;1.211911955
5.89;0.277822859;-0.277217746;1.244871443
5.9;0.29148952;-0.289424964;1.260740826
